Authors	Journal	PMID	Pages	Volume	Year	Citation	Title	PMCID
KK Yan, D Wang, J Rozowsky, H Zheng, C Cheng, M Gerstein	Genome Biol	25249401	R100	15	2014	(2014). <i>Genome Biol</i>&nbsp;15:R100.	OrthoClust: an orthology-based network framework for clustering data across multiple species.	PMC4289247
DG MacArthur, TA Manolio, DP Dimmock, HL Rehm, J Shendure, GR Abecasis, DR Adams, RB Altman, SE Antonarakis, EA Ashley, JC Barrett, LG Biesecker, DF Conrad, GM Cooper, NJ Cox, MJ Daly, MB Gerstein, DB Goldstein, JN Hirschhorn, SM Leal, LA Pennacchio, JA Stamatoyannopoulos, SR Sunyaev, D Valle, BF Voight, W Winckler, C Gunter	Nature	24759409	469-76	508	2014	(2014). <i>Nature</i>&nbsp;508:469-76.	Guidelines for investigating causality of sequence variants in human disease.	PMC4180223
M Kellis, B Wold, MP Snyder, BE Bernstein, A Kundaje, GK Marinov, LD Ward, E Birney, GE Crawford, J Dekker, I Dunham, LL Elnitski, PJ Farnham, EA Feingold, M Gerstein, MC Giddings, DM Gilbert, TR Gingeras, ED Green, R Guigo, T Hubbard, J Kent, JD Lieb, RM Myers, MJ Pazin, B Ren, JA Stamatoyannopoulos, Z Weng, KP White, RC Hardison	Proc Natl Acad Sci U S A	24753594	6131-8	111	2014	(2014). <i>Proc Natl Acad Sci U S A</i>&nbsp;111:6131-8.	Defining functional DNA elements in the human genome.	PMC4035993
JA Miller, SL Ding, SM Sunkin, KA Smith, L Ng, A Szafer, A Ebbert, ZL Riley, JJ Royall, K Aiona, JM Arnold, C Bennet, D Bertagnolli, K Brouner, S Butler, S Caldejon, A Carey, C Cuhaciyan, RA Dalley, N Dee, TA Dolbeare, BA Facer, D Feng, TP Fliss, G Gee, J Goldy, L Gourley, BW Gregor, G Gu, RE Howard, JM Jochim, CL Kuan, C Lau, CK Lee, F Lee, TA Lemon, P Lesnar, B McMurray, N Mastan, N Mosqueda, T Naluai-Cecchini, NK Ngo, J Nyhus, A Oldre, E Olson, J Parente, PD Parker, SE Parry, A Stevens, M Pletikos, M Reding, K Roll, D Sandman, M Sarreal, S Shapouri, NV Shapovalova, EH Shen, N Sjoquist, CR Slaughterbeck, M Smith, AJ Sodt, D Williams, L Z&#246;llei, B Fischl, MB Gerstein, DH Geschwind, IA Glass, MJ Hawrylycz, RF Hevner, H Huang, AR Jones, JA Knowles, P Levitt, JW Phillips, N Sestan, P Wohnoutka, C Dang, A Bernard, JG Hohmann, ES Lein	Nature	24695229	199-206	508	2014	(2014). <i>Nature</i>&nbsp;508:199-206.	Transcriptional landscape of the prenatal human brain.	PMC4105188
C Chen, BH Ha, AF Th&#233;venin, HJ Lou, R Zhang, KY Yip, JR Peterson, M Gerstein, PM Kim, P Filippakopoulos, S Knapp, TJ Boggon, BE Turk	Mol Cell	24374310	140-7	53	2014	(2014). <i>Mol Cell</i>&nbsp;53:140-7.	Identification of a major determinant for serine-threonine kinase phosphoacceptor specificity.	PMC3898841
T Steijger, JF Abril, PG Engstr&#246;m, F Kokocinski, TJ Hubbard, R Guig&#243;, J Harrow, P Bertone, RGASP Consortium	Nat Methods	24185837	1177-84	10	2013	(2013). <i>Nat Methods</i>&nbsp;10:1177-84.	Assessment of transcript reconstruction methods for RNA-seq.	PMC3851240
E Khurana, Y Fu, V Colonna, XJ Mu, HM Kang, T Lappalainen, A Sboner, L Lochovsky, J Chen, A Harmanci, J Das, A Abyzov, S Balasubramanian, K Beal, D Chakravarty, D Challis, Y Chen, D Clarke, L Clarke, F Cunningham, US Evani, P Flicek, R Fragoza, E Garrison, R Gibbs, ZH G&#252;m&#252;s, J Herrero, N Kitabayashi, Y Kong, K Lage, V Liluashvili, SM Lipkin, DG MacArthur, G Marth, D Muzny, TH Pers, GR Ritchie, JA Rosenfeld, C Sisu, X Wei, M Wilson, Y Xue, F Yu, 1000 Genomes Project Consortium, ET Dermitzakis, H Yu, MA Rubin, C Tyler-Smith, M Gerstein	Science	24092746	1235587	342	2013	(2013). <i>Science</i>&nbsp;342:1235587.	Integrative annotation of variants from 1092 humans: application to cancer genomics.	PMC3947637
A Abyzov, R Iskow, O Gokcumen, DW Radke, S Balasubramanian, B Pei, L Habegger, 1000 Genomes Project Consortium, C Lee, M Gerstein	Genome Res	24026178	2042-52	23	2013	(2013). <i>Genome Res</i>&nbsp;23:2042-52.	Analysis of variable retroduplications in human populations suggests coupling of retrotransposition to cell division.	PMC3847774
C Cheng, Y Fu, L Shen, M Gerstein	BMC Syst Biol	23895232	70	7	2013	(2013). <i>BMC Syst Biol</i>&nbsp;7:70.	Identification of yeast cell cycle regulated genes based on genomic features.	PMC3734186
Y Zhang, R Haraksingh, F Grubert, A Abyzov, M Gerstein, S Weissman, AE Urban	Child Dev	23311762	34-48	84	2013	(2013). <i>Child Dev</i>&nbsp;84:34-48.	Child development and structural variation in the human genome.	
R Kittler, J Zhou, S Hua, L Ma, Y Liu, E Pendleton, C Cheng, M Gerstein, KP White	Cell Rep	23375374	538-51	3	2013	(2013). <i>Cell Rep</i>&nbsp;3:538-51.	A comprehensive nuclear receptor network for breast cancer cells.	
H Tilgner, D Raha, L Habegger, M Mohiuddin, M Gerstein, M Snyder	G3 (Bethesda)	23450794	387-97	3	2013	(2013). <i>G3 (Bethesda)</i>&nbsp;3:387-97.	Accurate identification and analysis of human mRNA isoforms using deep long read sequencing.	PMC3583448
SB Montgomery, DL Goode, E Kvikstad, CA Albers, ZD Zhang, XJ Mu, G Ananda, B Howie, KJ Karczewski, KS Smith, V Anaya, R Richardson, J Davis, 1000 Genomes Project Consortium, DG MacArthur, A Sidow, L Duret, M Gerstein, KD Makova, J Marchini, G McVean, G Lunter	Genome Res	23478400	749-61	23	2013	(2013). <i>Genome Res</i>&nbsp;23:749-61.	The origin, evolution, and functional impact of short insertion-deletion variants identified in 179 human genomes.	PMC3638132
WF Doolittle, P Fraser, MB Gerstein, BR Graveley, S Henikoff, C Huttenhower, A Oshlack, CP Ponting, JL Rinn, MC Schatz, J Ule, D Weigel, GM Weinstock	Genome Biol	23651518	113	14	2014	(2014). <i>Genome Biol</i>&nbsp;14:113.	Sixty years of genome biology.	PMC3663092
KY Yip, C Cheng, M Gerstein	Genome Biol	23731483	205	14	2014	(2014). <i>Genome Biol</i>&nbsp;14:205.	Machine learning and genome annotation: a match meant to be?	PMC4053789
E Khurana, Y Fu, J Chen, M Gerstein	PLoS Comput Biol	23505346	e1002886	9	2013	(2013). <i>PLoS Comput Biol</i>&nbsp;9:e1002886.	Interpretation of genomic variants using a unified biological network approach.	PMC3591262
PC Lin, YL Chiu, S Banerjee, K Park, JM Mosquera, E Giannopoulou, P Alves, AK Tewari, MB Gerstein, H Beltran, AM Melnick, O Elemento, F Demichelis, MA Rubin	Cancer Res	23233736	1232-44	73	2013	(2013). <i>Cancer Res</i>&nbsp;73:1232-44.	Epigenetic repression of miR-31 disrupts androgen receptor homeostasis and contributes to prostate cancer progression.	PMC3563734
A Abyzov, J Mariani, D Palejev, Y Zhang, MS Haney, L Tomasini, AF Ferrandino, LA Rosenberg Belmaker, A Szekely, M Wilson, A Kocabas, NE Calixto, EL Grigorenko, A Huttner, K Chawarska, S Weissman, AE Urban, M Gerstein, FM Vaccarino	Nature	23160490	438-42	492	2012	(2012). <i>Nature</i>&nbsp;492:438-42.	Somatic copy number mosaicism in human skin revealed by induced pluripotent stem cells.	PMC3532053
1000 Genomes Project Consortium, GR Abecasis, A Auton, LD Brooks, MA DePristo, RM Durbin, RE Handsaker, HM Kang, GT Marth, GA McVean	Nature	23128226	56-65	491	2012	(2012). <i>Nature</i>&nbsp;491:56-65.	An integrated map of genetic variation from 1,092 human genomes.	PMC3498066
M Gerstein	Nature	22972285	208	489	2012	(2012). <i>Nature</i>&nbsp;489:208.	Genomics: ENCODE leads the way on big data.	
ENCODE Project Consortium	Nature	22955616	57-74	489	2012	(2012). <i>Nature</i>&nbsp;489:57-74.	An integrated encyclopedia of DNA elements in the human genome.	PMC3439153
MB Gerstein, A Kundaje, M Hariharan, SG Landt, KK Yan, C Cheng, XJ Mu, E Khurana, J Rozowsky, R Alexander, R Min, P Alves, A Abyzov, N Addleman, N Bhardwaj, AP Boyle, P Cayting, A Charos, DZ Chen, Y Cheng, D Clarke, C Eastman, G Euskirchen, S Frietze, Y Fu, J Gertz, F Grubert, A Harmanci, P Jain, M Kasowski, P Lacroute, J Leng, J Lian, H Monahan, H O'Geen, Z Ouyang, EC Partridge, D Patacsil, F Pauli, D Raha, L Ramirez, TE Reddy, B Reed, M Shi, T Slifer, J Wang, L Wu, X Yang, KY Yip, G Zilberman-Schapira, S Batzoglou, A Sidow, PJ Farnham, RM Myers, SM Weissman, M Snyder	Nature	22955619	91-100	489	2012	(2012). <i>Nature</i>&nbsp;489:91-100.	Architecture of the human regulatory network derived from ENCODE data.	PMC4154057
S Djebali, CA Davis, A Merkel, A Dobin, T Lassmann, A Mortazavi, A Tanzer, J Lagarde, W Lin, F Schlesinger, C Xue, GK Marinov, J Khatun, BA Williams, C Zaleski, J Rozowsky, M R&#246;der, F Kokocinski, RF Abdelhamid, T Alioto, I Antoshechkin, MT Baer, NS Bar, P Batut, K Bell, I Bell, S Chakrabortty, X Chen, J Chrast, J Curado, T Derrien, J Drenkow, E Dumais, J Dumais, R Duttagupta, E Falconnet, M Fastuca, K Fejes-Toth, P Ferreira, S Foissac, MJ Fullwood, H Gao, D Gonzalez, A Gordon, H Gunawardena, C Howald, S Jha, R Johnson, P Kapranov, B King, C Kingswood, OJ Luo, E Park, K Persaud, JB Preall, P Ribeca, B Risk, D Robyr, M Sammeth, L Schaffer, LH See, A Shahab, J Skancke, AM Suzuki, H Takahashi, H Tilgner, D Trout, N Walters, H Wang, J Wrobel, Y Yu, X Ruan, Y Hayashizaki, J Harrow, M Gerstein, T Hubbard, A Reymond, SE Antonarakis, G Hannon, MC Giddings, Y Ruan, B Wold, P Carninci, R Guig&#243;, TR Gingeras	Nature	22955620	101-8	489	2012	(2012). <i>Nature</i>&nbsp;489:101-8.	Landscape of transcription in human cells.	PMC3684276
J Harrow, A Frankish, JM Gonzalez, E Tapanari, M Diekhans, F Kokocinski, BL Aken, D Barrell, A Zadissa, S Searle, I Barnes, A Bignell, V Boychenko, T Hunt, M Kay, G Mukherjee, J Rajan, G Despacio-Reyes, G Saunders, C Steward, R Harte, M Lin, C Howald, A Tanzer, T Derrien, J Chrast, N Walters, S Balasubramanian, B Pei, M Tress, JM Rodriguez, I Ezkurdia, J van Baren, M Brent, D Haussler, M Kellis, A Valencia, A Reymond, M Gerstein, R Guig&#243;, TJ Hubbard	Genome Res	22955987	1760-74	22	2012	(2012). <i>Genome Res</i>&nbsp;22:1760-74.	GENCODE: the reference human genome annotation for The ENCODE Project.	PMC3431492
KY Yip, C Cheng, N Bhardwaj, JB Brown, J Leng, A Kundaje, J Rozowsky, E Birney, P Bickel, M Snyder, M Gerstein	Genome Biol	22950945	R48	13	2012	(2012). <i>Genome Biol</i>&nbsp;13:R48.	Classification of human genomic regions based on experimentally determined binding sites of more than 100 transcription-related factors.	PMC3491392
C Cheng, R Alexander, R Min, J Leng, KY Yip, J Rozowsky, KK Yan, X Dong, S Djebali, Y Ruan, CA Davis, P Carninci, T Lassman, TR Gingeras, R Guig&#243;, E Birney, Z Weng, M Snyder, M Gerstein	Genome Res	22955978	1658-67	22	2012	(2012). <i>Genome Res</i>&nbsp;22:1658-67.	Understanding transcriptional regulation by integrative analysis of transcription factor binding data.	PMC3431483
SG Landt, GK Marinov, A Kundaje, P Kheradpour, F Pauli, S Batzoglou, BE Bernstein, P Bickel, JB Brown, P Cayting, Y Chen, G DeSalvo, C Epstein, KI Fisher-Aylor, G Euskirchen, M Gerstein, J Gertz, AJ Hartemink, MM Hoffman, VR Iyer, YL Jung, S Karmakar, M Kellis, PV Kharchenko, Q Li, T Liu, XS Liu, L Ma, A Milosavljevic, RM Myers, PJ Park, MJ Pazin, MD Perry, D Raha, TE Reddy, J Rozowsky, N Shoresh, A Sidow, M Slattery, JA Stamatoyannopoulos, MY Tolstorukov, KP White, S Xi, PJ Farnham, JD Lieb, BJ Wold, M Snyder	Genome Res	22955991	1813-31	22	2012	(2012). <i>Genome Res</i>&nbsp;22:1813-31.	ChIP-seq guidelines and practices of the ENCODE and modENCODE consortia.	PMC3431496
B Pei, C Sisu, A Frankish, C Howald, L Habegger, XJ Mu, R Harte, S Balasubramanian, A Tanzer, M Diekhans, A Reymond, TJ Hubbard, J Harrow, MB Gerstein	Genome Biol	22951037	R51	13	2012	(2012). <i>Genome Biol</i>&nbsp;13:R51.	The GENCODE pseudogene resource.	PMC3491395
X Dong, MC Greven, A Kundaje, S Djebali, JB Brown, C Cheng, TR Gingeras, M Gerstein, R Guig&#243;, E Birney, Z Weng	Genome Biol	22950368	R53	13	2012	(2012). <i>Genome Biol</i>&nbsp;13:R53.	Modeling gene expression using chromatin features in various cellular contexts.	PMC3491397
JQ Wu, M Seay, VP Schulz, M Hariharan, D Tuck, J Lian, J Du, M Shi, Z Ye, M Gerstein, MP Snyder, S Weissman	PLoS Genet	22412390	e1002565	8	2012	(2012). <i>PLoS Genet</i>&nbsp;8:e1002565.	Tcf7 is an important regulator of the switch of self-renewal and differentiation in a multipotential hematopoietic cell line.	PMC3297581
HY Lam, C Pan, MJ Clark, P Lacroute, R Chen, R Haraksingh, M O'Huallachain, MB Gerstein, JM Kidd, CD Bustamante, M Snyder	Nat Biotechnol	22398614	226-9	30	2012	(2012). <i>Nat Biotechnol</i>&nbsp;30:226-9.	Detecting and annotating genetic variations using the HugeSeq pipeline.	
J Cotney, J Leng, S Oh, LE DeMare, SK Reilly, MB Gerstein, JP Noonan	Genome Res	22421546	1069-80	22	2012	(2012). <i>Genome Res</i>&nbsp;22:1069-80.	Chromatin state signatures associated with tissue-specific gene expression and enhancer activity in the embryonic limb.	PMC3371702
M Vidal, DW Chan, M Gerstein, M Mann, GS Omenn, D Tagle, S Sechi, Workshop Participants	Clin Proteomics	22583803	6	9	2012	(2012). <i>Clin Proteomics</i>&nbsp;9:6.	The human proteome - a scientific opportunity for transforming diagnostics, therapeutics, and healthcare.	PMC3388576
MJ Bamshad, JA Shendure, D Valle, A Hamosh, JR Lupski, RA Gibbs, E Boerwinkle, RP Lifton, M Gerstein, M Gunel, S Mane, DA Nickerson, Centers for Mendelian Genomics	Am J Med Genet A	22628075	1523-5	158A	2012	(2012). <i>Am J Med Genet A</i>&nbsp;158A:1523-5.	The Centers for Mendelian Genomics: a new large-scale initiative to identify the genes underlying rare Mendelian conditions.	PMC3702263
L Habegger, S Balasubramanian, DZ Chen, E Khurana, A Sboner, A Harmanci, J Rozowsky, D Clarke, M Snyder, M Gerstein	Bioinformatics	22743228	2267-9	28	2012	(2012). <i>Bioinformatics</i>&nbsp;28:2267-9.	VAT: a computational framework to functionally annotate variants in personal genomes within a cloud-computing environment.	PMC3426844
G Zilberman-Schapira, J Chen, M Gerstein	Recent Pat DNA Gene Seq	22762737	180-8	6	2012	(2012). <i>Recent Pat DNA Gene Seq</i>&nbsp;6:180-8.	On sports and genes.	
TA Gianoulis, MA Griffin, DJ Spakowicz, BF Dunican, CJ Alpha, A Sboner, AM Sismour, C Kodira, M Egholm, GM Church, MB Gerstein, SA Strobel	PLoS Genet	22396667	e1002558	8	2012	(2012). <i>PLoS Genet</i>&nbsp;8:e1002558.	Genomic analysis of the hydrocarbon-producing, cellulolytic, endophytic fungus Ascocoryne sarcoides.	PMC3291568
R Chen, GI Mias, J Li-Pook-Than, L Jiang, HY Lam, R Chen, E Miriami, KJ Karczewski, M Hariharan, FE Dewey, Y Cheng, MJ Clark, H Im, L Habegger, S Balasubramanian, M O'Huallachain, JT Dudley, S Hillenmeyer, R Haraksingh, D Sharon, G Euskirchen, P Lacroute, K Bettinger, AP Boyle, M Kasowski, F Grubert, S Seki, M Garcia, M Whirl-Carrillo, M Gallardo, MA Blasco, PL Greenberg, P Snyder, TE Klein, RB Altman, AJ Butte, EA Ashley, M Gerstein, KC Nadeau, H Tang, M Snyder	Cell	22424236	1293-307	148	2012	(2012). <i>Cell</i>&nbsp;148:1293-307.	Personal omics profiling reveals dynamic molecular and medical phenotypes.	PMC3341616
DG MacArthur, S Balasubramanian, A Frankish, N Huang, J Morris, K Walter, L Jostins, L Habegger, JK Pickrell, SB Montgomery, CA Albers, ZD Zhang, DF Conrad, G Lunter, H Zheng, Q Ayub, MA DePristo, E Banks, M Hu, RE Handsaker, JA Rosenfeld, M Fromer, M Jin, XJ Mu, E Khurana, K Ye, M Kay, GI Saunders, MM Suner, T Hunt, IH Barnes, C Amid, DR Carvalho-Silva, AH Bignell, C Snow, B Yngvadottir, S Bumpstead, DN Cooper, Y Xue, IG Romero, 1000 Genomes Project Consortium, J Wang, Y Li, RA Gibbs, SA McCarroll, ET Dermitzakis, JK Pritchard, JC Barrett, J Harrow, ME Hurles, MB Gerstein, C Tyler-Smith	Science	22344438	823-8	335	2012	(2012). <i>Science</i>&nbsp;335:823-8.	A systematic survey of loss-of-function variants in human protein-coding genes.	PMC3299548
G Li, X Ruan, RK Auerbach, KS Sandhu, M Zheng, P Wang, HM Poh, Y Goh, J Lim, J Zhang, HS Sim, SQ Peh, FH Mulawadi, CT Ong, YL Orlov, S Hong, Z Zhang, S Landt, D Raha, G Euskirchen, CL Wei, W Ge, H Wang, C Davis, KI Fisher-Aylor, A Mortazavi, M Gerstein, T Gingeras, B Wold, Y Sun, MJ Fullwood, E Cheung, E Liu, WK Sung, M Snyder, Y Ruan	Cell	22265404	84-98	148	2012	(2012). <i>Cell</i>&nbsp;148:84-98.	Extensive promoter-centered chromatin interactions provide a topological basis for transcription regulation.	PMC3339270
D Clarke, N Bhardwaj, MB Gerstein	J Struct Biol	22343087	320-6	179	2012	(2012). <i>J Struct Biol</i>&nbsp;179:320-6.	Novel insights through the integration of structural and functional genomics data with protein networks.	
J Du, J Leng, L Habegger, A Sboner, D McDermott, M Gerstein	PLoS One	22238592	e29175	7	2012	(2012). <i>PLoS One</i>&nbsp;7:e29175.	IQSeq: integrated isoform quantification analysis based on next-generation sequencing.	PMC3253133
HY Lam, MJ Clark, R Chen, R Chen, G Natsoulis, M O'Huallachain, FE Dewey, L Habegger, EA Ashley, MB Gerstein, AJ Butte, HP Ji, M Snyder	Nat Biotechnol	22178993	78-82	30	2012	(2012). <i>Nat Biotechnol</i>&nbsp;30:78-82.	Performance comparison of whole-genome sequencing platforms.	PMC4076012
N Bhardwaj, D Clarke, M Gerstein	Proc Natl Acad Sci U S A	22160691	20279-80	108	2011	(2011). <i>Proc Natl Acad Sci U S A</i>&nbsp;108:20279-80.	Systematic control of protein interactions for systems biology.	PMC3251072
D Greenbaum, A Sboner, XJ Mu, M Gerstein	PLoS Comput Biol	22144881	e1002278	7	2011	(2011). <i>PLoS Comput Biol</i>&nbsp;7:e1002278.	Genomics and privacy: implications of the new reality of closed data for the field.	PMC3228779
D Lipman, P Flicek, S Salzberg, M Gerstein, R Knight	Genome Biol	21418618	402	12	2011	(2011). <i>Genome Biol</i>&nbsp;12:402.	Closure of the NCBI SRA and implications for the long-term future of genomics data storage.	PMC3129670
RR Haraksingh, A Abyzov, M Gerstein, AE Urban, M Snyder	PLoS One	22140474	e27859	6	2011	(2011). <i>PLoS One</i>&nbsp;6:e27859.	Genome-wide mapping of copy number variation in humans: comparative analysis of high resolution array platforms.	PMC3227574
